Date	P	T	Q	Q_predicted_RandomForest	Q_predicted_CatBoost	nse_score_RandomForest	nse_score_Catboost
1990-01-21	0.055	3.613	0.525	1.1414376941274766	1.2114397783428346	0.6286395792609321	0.7112368070743122
1990-01-22	0.055	0.267	0.5414	1.2601357638358066	1.0275724923432985	0.6286395792609321	0.7112368070743122
1990-01-23	1.988	-0.555	0.5468	0.9752791045377478	0.6911102748682032	0.6286395792609321	0.7112368070743122
1990-01-24	3.344	6.869	0.6945	0.9859895149768005	0.7726257295429662	0.6286395792609321	0.7112368070743122
1990-01-25	13.515	6.998	0.9843	1.0366146691384177	1.7369397380253675	0.6286395792609321	0.7112368070743122
1990-01-26	0.77	4.872	4.9926	4.196409300938912	5.320361255581054	0.6286395792609321	0.7112368070743122
1990-01-27	0.0	3.815	2.6029	2.2038982581737696	2.247075910718027	0.6286395792609321	0.7112368070743122
1990-01-28	1.655	4.091	1.7061	1.3338087741764435	1.6764557113402403	0.6286395792609321	0.7112368070743122
1990-01-29	0.0	2.556	1.3707	1.4440941078046743	0.857618061160519	0.6286395792609321	0.7112368070743122
1990-01-30	0.0	3.868	1.1392	1.3107977021061856	1.010184106586197	0.6286395792609321	0.7112368070743122
1990-01-31	0.0	2.746	0.9661	1.0402232510041645	0.9443220266719949	0.6286395792609321	0.7112368070743122
1990-02-01	0.0	4.183	0.8403	1.1249392087187602	0.8608266772586477	0.6286395792609321	0.7112368070743122
1990-02-02	3.434	3.223	0.833	1.1504811442575997	0.863102244685101	0.6286395792609321	0.7112368070743122
1990-02-03	0.777	4.647	0.7546	0.9383894690536566	0.8162294076606872	0.6286395792609321	0.7112368070743122
1990-02-04	0.0	5.427	0.658	0.943642412536237	0.7802813293043835	0.6286395792609321	0.7112368070743122
1990-02-05	0.016	2.196	0.6471	0.9664302108228704	0.6808894673525241	0.6286395792609321	0.7112368070743122
1990-02-06	0.0	0.15	0.6434	0.9289001159989374	0.8265191510485242	0.6286395792609321	0.7112368070743122
1990-02-07	0.02	3.845	0.5906	0.8615811887163891	0.7763369933044741	0.6286395792609321	0.7112368070743122
1990-02-08	0.597	9.827	0.5614	0.9084705872370437	0.5628089657411718	0.6286395792609321	0.7112368070743122
1990-02-09	0.0	3.506	0.5304	0.8289313067114608	0.4531046152771472	0.6286395792609321	0.7112368070743122
1990-02-10	6.552	1.349	0.5359	0.8420378305843814	0.6048841638555091	0.6286395792609321	0.7112368070743122
1990-02-11	1.609	2.27	0.8913	2.0953656383736976	1.2614021530460187	0.6286395792609321	0.7112368070743122
1990-02-12	3.216	2.1	0.9424	1.261636735164385	0.9294343572418534	0.6286395792609321	0.7112368070743122
1990-02-13	15.282	2.556	1.0736	1.369218882647011	2.020585260410368	0.6286395792609321	0.7112368070743122
1990-02-14	30.102	7.804	12.9801	6.354908847222223	7.477272818749571	0.6286395792609321	0.7112368070743122
1990-02-15	6.192	6.927	13.5396	11.170556221177947	14.244003750680053	0.6286395792609321	0.7112368070743122
1990-02-16	3.563	1.361	5.6762	6.9531507406124575	7.446527186489911	0.6286395792609321	0.7112368070743122
1990-02-17	0.35	3.467	3.5745	2.69598269324301	4.030348981895626	0.6286395792609321	0.7112368070743122
1990-02-18	0.003	5.393	2.5993	2.472712519610167	3.328708308992802	0.6286395792609321	0.7112368070743122
1990-02-19	0.0	7.813	1.9814	1.8108864473344048	2.541606119425942	0.6286395792609321	0.7112368070743122
1990-02-20	0.0	8.082	1.5567	1.377323700934888	1.8521983298405569	0.6286395792609321	0.7112368070743122
1990-02-21	0.0	7.956	1.2687	1.1360067362632578	1.2676823228735414	0.6286395792609321	0.7112368070743122
1990-02-22	0.0	8.501	1.0663	1.0074497041918709	1.1160605655318268	0.6286395792609321	0.7112368070743122
1990-02-23	0.0	5.959	0.9752	0.8574860616064643	1.0309525292027328	0.6286395792609321	0.7112368070743122
1990-02-24	0.0	6.637	0.8859	0.8044687170404888	1.1331139818141247	0.6286395792609321	0.7112368070743122
1990-02-25	0.206	9.27	0.8057	0.8250708340370915	0.8418387724300145	0.6286395792609321	0.7112368070743122
1990-02-26	19.985	9.889	1.3981	0.9259175585000232	1.523190088976121	0.6286395792609321	0.7112368070743122
1990-02-27	16.377	5.68	7.0141	8.110671791208791	8.044318912889619	0.6286395792609321	0.7112368070743122
1990-02-28	9.409	5.108	6.3652	4.639480756389574	6.711736048968096	0.6286395792609321	0.7112368070743122
1990-03-01	2.783	3.867	6.6605	4.201155763725684	6.4813013938278266	0.6286395792609321	0.7112368070743122
1990-03-02	2.168	1.054	3.7877	2.4488735564690414	3.8894632292357447	0.6286395792609321	0.7112368070743122
1990-03-03	0.0	0.876	2.9438	2.0558527444299433	2.4880454077508896	0.6286395792609321	0.7112368070743122
1990-03-04	0.0	1.072	2.2858	2.091232524265369	2.018483965591649	0.6286395792609321	0.7112368070743122
1990-03-05	0.0	2.39	1.8319	1.3385582110546705	1.6752396497507798	0.6286395792609321	0.7112368070743122
1990-03-06	0.0	7.309	1.491	1.0909633467945998	1.3822414624742108	0.6286395792609321	0.7112368070743122
1990-03-07	0.0	7.624	1.2122	1.004150669021117	0.9213565272785684	0.6286395792609321	0.7112368070743122
1990-03-08	0.246	6.764	1.0335	0.9628711916572664	0.9510089269984061	0.6286395792609321	0.7112368070743122
1990-03-09	0.0	10.55	0.9077	0.7835968095082995	0.7837110120541277	0.6286395792609321	0.7112368070743122
1990-03-10	0.0	9.413	0.7856	0.7381362146386314	0.7717317411096197	0.6286395792609321	0.7112368070743122
1990-03-11	0.0	9.856	0.7401	0.6567902951532395	0.6636121810963878	0.6286395792609321	0.7112368070743122
1990-03-12	0.0	10.438	0.7273	0.6197866966479402	0.6829788749690741	0.6286395792609321	0.7112368070743122
1990-03-13	0.036	9.764	0.6635	0.5751474614319977	0.5991717669424624	0.6286395792609321	0.7112368070743122
1990-03-14	3.997	7.96	0.7145	0.599195020222544	0.7240301806552485	0.6286395792609321	0.7112368070743122
1990-03-15	0.0	8.281	0.5961	0.837457587204091	0.5393118688178421	0.6286395792609321	0.7112368070743122
1990-03-16	0.0	8.28	0.5505	0.9063352355339399	0.5022822228970069	0.6286395792609321	0.7112368070743122
1990-03-17	0.0	6.15	0.545	0.7230963286883927	0.8458570971529163	0.6286395792609321	0.7112368070743122
1990-03-18	0.0	7.721	0.5013	0.7100898646442898	0.7037896782845547	0.6286395792609321	0.7112368070743122
1990-03-19	0.0	8.739	0.4994	0.783022758971032	0.5900434626112443	0.6286395792609321	0.7112368070743122
1990-03-20	2.814	7.869	0.5724	0.826430309473648	0.5065835813015022	0.6286395792609321	0.7112368070743122
1990-03-21	0.0	13.057	0.5213	0.7945956439754306	0.6712219668636562	0.6286395792609321	0.7112368070743122
1990-03-22	13.896	14.83	0.4903	0.9585788411779872	0.2645633347773877	0.6286395792609321	0.7112368070743122
1990-03-23	1.511	8.49	1.4619	3.025736531982047	1.6781329303579164	0.6286395792609321	0.7112368070743122
1990-03-24	0.02	7.673	0.8476	1.3250781475308986	0.9537977849598782	0.6286395792609321	0.7112368070743122
1990-03-25	6.615	4.912	0.8749	1.1857873807259112	0.8368540297781659	0.6286395792609321	0.7112368070743122
1990-03-26	0.918	2.517	0.7802	2.1484370082430524	0.795460956918559	0.6286395792609321	0.7112368070743122
1990-03-27	10.417	2.757	0.7802	1.1264250261314426	1.0447811915901346	0.6286395792609321	0.7112368070743122
1990-03-28	4.791	2.364	2.4589	3.0412631761275795	3.0502088140895878	0.6286395792609321	0.7112368070743122
1990-03-29	1.169	4.219	1.9814	2.2514658703481345	1.9385993537346913	0.6286395792609321	0.7112368070743122
1990-03-30	0.0	6.372	1.3853	1.4191928459073426	1.5598230762853955	0.6286395792609321	0.7112368070743122
1990-03-31	0.0	8.639	1.1356	1.2919557717584755	1.1646933031509534	0.6286395792609321	0.7112368070743122
1990-04-01	0.0	8.827	0.977	1.05995245838101	1.0938986443884138	0.6286395792609321	0.7112368070743122
1990-04-02	0.0	10.646	0.9023	0.9335517262479064	1.0984682123572225	0.6286395792609321	0.7112368070743122
1990-04-03	7.693	8.327	0.9242	0.7293936270689771	0.879081773633091	0.6286395792609321	0.7112368070743122
1990-04-04	0.0	5.047	1.0208	1.7067862527807016	1.2460353788679854	0.6286395792609321	0.7112368070743122
1990-04-05	0.275	5.228	0.7437	1.0631176522022339	0.902662465978254	0.6286395792609321	0.7112368070743122
1990-04-06	0.016	5.732	0.7072	0.7826385010131657	0.8432955197726414	0.6286395792609321	0.7112368070743122
1990-04-07	6.163	5.659	0.7838	0.8273230908882324	0.8045162551582231	0.6286395792609321	0.7112368070743122
1990-04-08	0.681	4.128	0.8877	2.4630113139907372	1.3955664922092972	0.6286395792609321	0.7112368070743122
