Date	P	T	Q	Q_predicted_RandomForest	Q_predicted_CatBoost	nse_score_RandomForest	nse_score_Catboost
2015-09-21	0.0	11.958	0.2042	0.42312517793921217	0.2920065074539737	0.6875438582054065	0.8329019791970843
2015-09-22	5.74	12.683	0.2096	0.502798150045259	0.25767964783305475	0.6875438582054065	0.8329019791970843
2015-09-23	1.905	9.904	0.3955	0.9323976577967377	0.49376388659648496	0.6875438582054065	0.8329019791970843
2015-09-24	0.0	10.694	0.2424	0.783940077269896	0.43706891902724376	0.6875438582054065	0.8329019791970843
2015-09-25	0.0	11.318	0.2042	0.5236059273330941	0.35978981190843307	0.6875438582054065	0.8329019791970843
2015-09-26	0.011	12.746	0.195	0.48187699797848077	0.23076270465573345	0.6875438582054065	0.8329019791970843
2015-09-27	0.0	13.019	0.1768	0.5825846905723437	0.3286662705428429	0.6875438582054065	0.8329019791970843
2015-09-28	0.0	11.116	0.1805	0.5105871767610597	0.34768766248787775	0.6875438582054065	0.8329019791970843
2015-09-29	0.0	11.401	0.1732	0.4823652123272459	0.34674690806787156	0.6875438582054065	0.8329019791970843
2015-09-30	0.0	10.254	0.1732	0.4845408431327779	0.4156492005192398	0.6875438582054065	0.8329019791970843
2015-10-01	0.0	9.449	0.1732	0.4583417680481549	0.35615710006432133	0.6875438582054065	0.8329019791970843
2015-10-02	0.008	10.459	0.1786	0.45086532944792046	0.2459234962347039	0.6875438582054065	0.8329019791970843
2015-10-03	0.305	13.25	0.1823	0.4789443365207213	0.3630370155560676	0.6875438582054065	0.8329019791970843
2015-10-04	6.386	11.566	0.3919	0.4876600158199259	0.3472225603861332	0.6875438582054065	0.8329019791970843
2015-10-05	1.024	12.395	0.2461	0.9254870132522892	0.13557717096908783	0.6875438582054065	0.8329019791970843
2015-10-06	2.669	14.01	0.2351	0.7448301199339052	0.0749642264287167	0.6875438582054065	0.8329019791970843
2015-10-07	0.059	13.832	0.2406	0.5684755632996499	0.2770808508139302	0.6875438582054065	0.8329019791970843
2015-10-08	0.0	12.068	0.1969	0.634258763259164	0.14701140407477942	0.6875438582054065	0.8329019791970843
2015-10-09	0.0	11.626	0.1896	0.6026000237418412	0.14738038050249958	0.6875438582054065	0.8329019791970843
2015-10-10	0.003	10.272	0.1823	0.492079636641454	0.19812147265057822	0.6875438582054065	0.8329019791970843
2015-10-11	0.0	10.766	0.1713	0.4379605077459807	0.30729440164243194	0.6875438582054065	0.8329019791970843
2015-10-12	0.013	7.786	0.175	0.4892997152725691	0.3136491615520556	0.6875438582054065	0.8329019791970843
2015-10-13	8.502	8.1	0.2315	0.5023342545624964	0.316637333806139	0.6875438582054065	0.8329019791970843
2015-10-14	3.919	6.534	0.4502	1.5639698548722838	0.8011467333096678	0.6875438582054065	0.8329019791970843
2015-10-15	3.396	5.09	0.463	1.8202291007976943	0.8261689245818833	0.6875438582054065	0.8329019791970843
2015-10-16	1.128	5.066	0.4119	1.6950020618653603	0.49195551899883483	0.6875438582054065	0.8329019791970843
