Date	P	T	Q	Q_predicted_RandomForest	Q_predicted_CatBoost	nse_score_RandomForest	nse_score_Catboost
2011-01-21	0.0	-2.057	1.5986	1.4121738845280674	0.7252815650587405	0.6861336845358852	0.7640098925533492
2011-01-22	0.0	-3.621	1.3726	1.1639671920971093	1.0202739535826844	0.6861336845358852	0.7640098925533492
2011-01-23	0.0	-5.921	1.1866	0.9879434965779563	0.9985612015501805	0.6861336845358852	0.7640098925533492
2011-01-24	0.108	-4.132	1.039	0.9449117924106595	0.8341357843356375	0.6861336845358852	0.7640098925533492
2011-01-25	0.301	0.018	0.9861	0.8001086218864426	0.8188046567061258	0.6861336845358852	0.7640098925533492
2011-01-26	0.098	1.209	0.946	0.7982298738995356	0.8038237358583962	0.6861336845358852	0.7640098925533492
2011-01-27	0.0	0.665	0.8731	0.8041097075203112	0.7773629738480102	0.6861336845358852	0.7640098925533492
2011-01-28	0.0	-0.956	0.8148	0.7863699408780758	0.9266614707563747	0.6861336845358852	0.7640098925533492
2011-01-29	0.0	-2.429	0.7619	0.6953505813641817	0.7522971480604106	0.6861336845358852	0.7640098925533492
2011-01-30	0.0	-5.127	0.7018	0.6970456802317571	0.7080843117517468	0.6861336845358852	0.7640098925533492
2011-01-31	0.0	-4.669	0.6325	0.5588271538543539	0.4650170562375404	0.6861336845358852	0.7640098925533492
2011-02-01	0.0	-4.36	0.5924	0.588749664930396	0.46844919153021625	0.6861336845358852	0.7640098925533492
2011-02-02	0.0	-4.096	0.5651	0.4880948321779699	0.33201889057352374	0.6861336845358852	0.7640098925533492
2011-02-03	0.025	-2.559	0.5432	0.5119573243728266	0.31612276853447563	0.6861336845358852	0.7640098925533492
2011-02-04	0.0	3.841	0.5468	0.5427686956148099	0.5161948689769086	0.6861336845358852	0.7640098925533492
2011-02-05	0.0	5.823	0.5632	0.7967418671913681	1.4055537260730766	0.6861336845358852	0.7640098925533492
2011-02-06	0.0	3.624	0.5341	0.5408750149656296	0.6078574121177764	0.6861336845358852	0.7640098925533492
2011-02-07	0.0	2.512	0.5213	0.6279584838630186	0.4477568484060307	0.6861336845358852	0.7640098925533492
2011-02-08	0.0	3.179	0.5013	0.8730846023072439	0.6532814128003962	0.6861336845358852	0.7640098925533492
2011-02-09	0.0	0.434	0.4794	0.7576984586334568	0.7003130524358153	0.6861336845358852	0.7640098925533492
2011-02-10	0.0	1.098	0.4685	0.5470270661551531	0.4360938285335747	0.6861336845358852	0.7640098925533492
2011-02-11	0.0	7.55	0.4685	0.6568275688413309	0.6752129838265299	0.6861336845358852	0.7640098925533492
2011-02-12	0.0	5.6	0.4557	0.6530135844419888	0.21281646714279567	0.6861336845358852	0.7640098925533492
2011-02-13	0.0	4.958	0.4466	0.600316039137266	0.5505844234049475	0.6861336845358852	0.7640098925533492
2011-02-14	0.0	3.672	0.4393	0.5788015480297338	0.4500169775497709	0.6861336845358852	0.7640098925533492
2011-02-15	0.12	2.431	0.4375	1.0041316393824147	0.3618443320811662	0.6861336845358852	0.7640098925533492
2011-02-16	0.0	2.981	0.4247	1.0667428956609133	0.32044652868725665	0.6861336845358852	0.7640098925533492
2011-02-17	0.0	2.547	0.4101	0.89151978568343	0.3818272213211392	0.6861336845358852	0.7640098925533492
2011-02-18	0.0	2.988	0.381	0.7139794751021603	0.44169996925052024	0.6861336845358852	0.7640098925533492
2011-02-19	0.001	3.183	0.3828	0.5762660994720019	0.35489054956455823	0.6861336845358852	0.7640098925533492
2011-02-20	14.716	0.972	0.5632	0.6242830481633594	0.39373853129255443	0.6861336845358852	0.7640098925533492
2011-02-21	1.263	-0.458	0.7255	1.8341189840369068	1.0717843424409792	0.6861336845358852	0.7640098925533492
2011-02-22	0.54	-2.146	0.607	1.5645286515151513	1.0316934651305354	0.6861336845358852	0.7640098925533492
2011-02-23	0.0	-5.28	0.5395	1.0773805504240526	0.8137404115721183	0.6861336845358852	0.7640098925533492
2011-02-24	2.364	-0.915	0.5432	1.0439502074730531	0.6908532004599955	0.6861336845358852	0.7640098925533492
2011-02-25	1.285	2.021	1.3981	0.9955528793137333	1.0341388784581862	0.6861336845358852	0.7640098925533492
2011-02-26	3.823	1.389	1.6514	0.9149266569540202	0.9369074339108023	0.6861336845358852	0.7640098925533492
2011-02-27	7.429	3.946	2.53	1.010769965472735	1.7975203825683328	0.6861336845358852	0.7640098925533492
2011-02-28	0.454	3.402	3.7805	2.265170643619437	2.698375074639362	0.6861336845358852	0.7640098925533492
2011-03-01	0.0	3.644	2.3277	1.430303146755063	1.781666810851839	0.6861336845358852	0.7640098925533492
2011-03-02	0.0	2.309	1.6569	1.4729828837697616	1.5236612459015668	0.6861336845358852	0.7640098925533492
2011-03-03	0.0	0.697	1.2741	1.1610804602635274	1.3154913528237866	0.6861336845358852	0.7640098925533492
2011-03-04	0.0	0.755	1.0937	0.9866763378745912	1.1310497862368032	0.6861336845358852	0.7640098925533492
2011-03-05	0.0	0.415	0.9588	0.9260529340890923	0.9488164252830895	0.6861336845358852	0.7640098925533492
2011-03-06	0.0	0.555	0.833	0.9269850653785647	0.837801207634237	0.6861336845358852	0.7640098925533492
2011-03-07	0.0	1.894	0.7364	0.8945595031010427	0.8112320745345956	0.6861336845358852	0.7640098925533492
2011-03-08	0.0	1.964	0.6817	0.7704555453353736	0.6919551752644988	0.6861336845358852	0.7640098925533492
2011-03-09	0.0	6.24	0.6471	0.8088191547139351	0.7784916151957152	0.6861336845358852	0.7640098925533492
2011-03-10	0.0	8.618	0.6125	0.6589211721625085	0.7302885014780433	0.6861336845358852	0.7640098925533492
2011-03-11	0.0	6.375	0.5724	1.1691892970563944	0.7434578027270686	0.6861336845358852	0.7640098925533492
2011-03-12	0.0	5.545	0.5596	0.7034017822905966	0.7815710343651234	0.6861336845358852	0.7640098925533492
2011-03-13	0.0	8.398	0.5414	0.6229575925377007	0.743933036468808	0.6861336845358852	0.7640098925533492
2011-03-14	0.0	9.831	0.494	0.5608901479996751	0.7410412080526739	0.6861336845358852	0.7640098925533492
2011-03-15	0.0	9.267	0.4757	0.5736971732005933	0.6495737184261957	0.6861336845358852	0.7640098925533492
2011-03-16	0.145	8.805	0.4721	0.554452228075805	0.5813289139622504	0.6861336845358852	0.7640098925533492
2011-03-17	17.885	7.657	1.5567	0.7172721396460444	0.9253253087830697	0.6861336845358852	0.7640098925533492
2011-03-18	1.258	6.642	1.6879	5.483840696969698	3.147565275193963	0.6861336845358852	0.7640098925533492
2011-03-19	10.149	3.656	2.8217	2.323219019147519	1.6244961064852899	0.6861336845358852	0.7640098925533492
2011-03-20	0.0	3.808	2.6758	2.83758635989011	3.106054632200892	0.6861336845358852	0.7640098925533492
2011-03-21	0.0	4.411	1.6897	1.7655869493673777	1.2945800754278805	0.6861336845358852	0.7640098925533492
2011-03-22	0.0	5.352	1.3233	1.0411224443843192	1.0009558556218836	0.6861336845358852	0.7640098925533492
2011-03-23	0.0	8.014	1.0791	0.9798807666914986	0.7664499115321998	0.6861336845358852	0.7640098925533492
2011-03-24	0.0	7.92	0.9132	0.9624306604058163	0.665846216899113	0.6861336845358852	0.7640098925533492
2011-03-25	0.001	10.297	0.8421	0.8093235736348682	0.6455936532224971	0.6861336845358852	0.7640098925533492
2011-03-26	0.367	11.43	0.7546	0.808567788979629	0.5092412336647777	0.6861336845358852	0.7640098925533492
2011-03-27	0.039	8.422	0.6817	0.6831714651081653	0.4790211108863407	0.6861336845358852	0.7640098925533492
2011-03-28	3.19	8.286	0.8111	0.6277003369470261	0.3929293515845421	0.6861336845358852	0.7640098925533492
2011-03-29	0.025	8.111	0.6471	0.5941450267465364	0.538981462922939	0.6861336845358852	0.7640098925533492
2011-03-30	0.08	9.138	0.5614	0.6073162498124047	0.4050734384690522	0.6861336845358852	0.7640098925533492
2011-03-31	3.689	10.933	0.607	0.5606186227221276	0.5184955252674561	0.6861336845358852	0.7640098925533492
2011-04-01	0.0	12.819	0.5505	0.7049230830791278	0.4281517524095011	0.6861336845358852	0.7640098925533492
2011-04-02	0.0	12.538	0.5049	0.6084417682962464	0.36066704358902557	0.6861336845358852	0.7640098925533492
2011-04-03	7.46	14.421	0.4885	0.6123865941244279	0.5085770910239569	0.6861336845358852	0.7640098925533492
2011-04-04	11.658	9.431	1.8684	1.4446675771405555	1.1964178745142666	0.6861336845358852	0.7640098925533492
2011-04-05	0.0	9.594	1.152	2.4945273507503027	1.3195229538292528	0.6861336845358852	0.7640098925533492
2011-04-06	0.0	12.637	0.8458	1.3254827303804857	0.9950179365302201	0.6861336845358852	0.7640098925533492
2011-04-07	0.0	15.909	0.7018	1.0381611171614125	0.8187996917036837	0.6861336845358852	0.7640098925533492
2011-04-08	0.0	14.28	0.6289	0.8657836995172751	0.5693605035360585	0.6861336845358852	0.7640098925533492
2011-04-09	0.0	13.382	0.5724	0.7716873896024367	0.6418056048612643	0.6861336845358852	0.7640098925533492
2011-04-10	0.0	12.467	0.514	0.7511790105628618	0.5740805114176724	0.6861336845358852	0.7640098925533492
2011-04-11	0.0	13.307	0.4812	0.6542930537791369	0.694838947493913	0.6861336845358852	0.7640098925533492
2011-04-12	0.669	9.566	0.4794	0.6380190639317039	0.4681069598193841	0.6861336845358852	0.7640098925533492
2011-04-13	0.0	5.418	0.4356	0.5143899728279581	0.5522812992902053	0.6861336845358852	0.7640098925533492
2011-04-14	0.0	6.235	0.4247	0.4301898181275422	0.41139236780860466	0.6861336845358852	0.7640098925533492
2011-04-15	0.0	6.872	0.4065	0.4374310691484366	0.3776526306033918	0.6861336845358852	0.7640098925533492
2011-04-16	0.0	7.747	0.3883	0.46918837130327573	0.33623522355984714	0.6861336845358852	0.7640098925533492
2011-04-17	0.0	8.78	0.3646	0.45458751965172706	0.33160899047457937	0.6861336845358852	0.7640098925533492
2011-04-18	0.0	9.974	0.3609	0.4389828977971808	0.32218227998658167	0.6861336845358852	0.7640098925533492
2011-04-19	0.0	12.181	0.3591	0.3689677774726984	0.32333669764754314	0.6861336845358852	0.7640098925533492
2011-04-20	0.0	13.348	0.3409	0.38706669208649	0.32192306479376454	0.6861336845358852	0.7640098925533492
2011-04-21	0.0	14.282	0.3281	0.37125182873163953	0.3390120948311284	0.6861336845358852	0.7640098925533492
2011-04-22	0.0	15.285	0.3245	0.34694677359880516	0.33761183019027663	0.6861336845358852	0.7640098925533492
2011-04-23	0.097	15.396	0.3135	0.35222704427466345	0.3333385417820085	0.6861336845358852	0.7640098925533492
2011-04-24	0.19	15.238	0.319	0.34846975461773744	0.3381143961744686	0.6861336845358852	0.7640098925533492
